DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FINANCE_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_BOR_RN(1.0),N_A,AFY,2002,2001,SGB3,0,2002-03-31,INR,356480000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2002,2001,SGB4,0,2002-03-31,INR,304680000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2002,2001,SGB2,0,2002-03-31,INR,172490000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2001,2000,SGB4,0,2001-03-31,INR,344730000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2001,2000,SGB,0,2001-03-31,INR,879220000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2001,2000,SGB3,0,2001-03-31,INR,326060000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2001,2000,SGB2,0,2001-03-31,INR,125190000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2001,2000,SGB1,0,2001-03-31,INR,83240000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2000,1999,SGB3,0,2000-03-31,INR,264160000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2000,1999,SGB4,0,2000-03-31,INR,388400000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2000,1999,SGB,0,2000-03-31,INR,900980000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2000,1999,SGB1,0,2000-03-31,INR,121780000000
RBI:SG_BOR_RN(1.0),N_A,AFY,2000,1999,SGB2,0,2000-03-31,INR,126640000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1999,1998,SGB4,0,1999-03-31,INR,324780000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1999,1998,SGB,0,1999-03-31,INR,732950000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1999,1998,SGB2,0,1999-03-31,INR,104670000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1999,1998,SGB1,0,1999-03-31,INR,303500000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1998,1997,SGB2,0,1998-03-31,INR,72800000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1998,1997,SGB4,0,1998-03-31,INR,135450000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1998,1997,SGB,0,1998-03-31,INR,434740000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1998,1997,SGB1,0,1998-03-31,INR,226490000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1997,1996,SGB4,0,1997-03-31,INR,133500000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1997,1996,SGB2,0,1997-03-31,INR,65150000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1997,1996,SGB1,0,1997-03-31,INR,166960000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1997,1996,SGB,0,1997-03-31,INR,365610000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1996,1995,SGB2,0,1996-03-31,INR,58880000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1996,1995,SGB,0,1996-03-31,INR,308700000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1996,1995,SGB1,0,1996-03-31,INR,140750000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1996,1995,SGB4,0,1996-03-31,INR,109070000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1995,1994,SGB2,0,1995-03-31,INR,40750000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1995,1994,SGB1,0,1995-03-31,INR,142500000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1995,1994,SGB,0,1995-03-31,INR,273080000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1995,1994,SGB4,0,1995-03-31,INR,89830000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1994,1993,SGB1,0,1994-03-31,INR,94000000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1994,1993,SGB2,0,1994-03-31,INR,36200000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1994,1993,SGB,0,1994-03-31,INR,203640000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1994,1993,SGB4,0,1994-03-31,INR,73440000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1993,1992,SGB2,0,1993-03-31,INR,35000000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1993,1992,SGB1,0,1993-03-31,INR,89210000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1993,1992,SGB,0,1993-03-31,INR,208920000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1993,1992,SGB4,0,1993-03-31,INR,84710000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1992,1991,SGB,0,1992-03-31,INR,189000000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1992,1991,SGB4,0,1992-03-31,INR,62220000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1992,1991,SGB1,0,1992-03-31,INR,93730000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1992,1991,SGB2,0,1992-03-31,INR,33050000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1991,1990,SGB2,0,1991-03-31,INR,25560000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1991,1990,SGB4,0,1991-03-31,INR,62530000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1991,1990,SGB,0,1991-03-31,INR,187870000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1991,1990,SGB1,0,1991-03-31,INR,99780000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1990,1989,SGB1,0,1990-03-31,INR,79170000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1990,1989,SGB4,0,1990-03-31,INR,52180000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1990,1989,SGB2,0,1990-03-31,INR,22980000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1990,1989,SGB,0,1990-03-31,INR,154330000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1989,1988,SGB4,0,1989-03-31,INR,38810000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1989,1988,SGB1,0,1989-03-31,INR,58180000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1989,1988,SGB2,0,1989-03-31,INR,19730000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1989,1988,SGB,0,1989-03-31,INR,116720000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1988,1987,SGB2,0,1988-03-31,INR,15230000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1988,1987,SGB,0,1988-03-31,INR,112190000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1988,1987,SGB4,0,1988-03-31,INR,38640000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1988,1987,SGB1,0,1988-03-31,INR,58320000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1987,1986,SGB1,0,1987-03-31,INR,47860000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1987,1986,SGB,0,1987-03-31,INR,92690000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1987,1986,SGB2,0,1987-03-31,INR,11470000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1987,1986,SGB4,0,1987-03-31,INR,33360000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1986,1985,SGB1,0,1986-03-31,INR,57570000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1986,1985,SGB,0,1986-03-31,INR,75210000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1986,1985,SGB2,0,1986-03-31,INR,10100000000
RBI:SG_BOR_RN(1.0),N_A,AFY,1986,1985,SGB4,0,1986-03-31,INR,7540000000
