DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,13,QFY,MNF_CP_PNV,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,26.037
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,7.642669
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,12.5089
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,INT_BURDEN,0,2021-03-31,RPT,15.7673
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,INT_CVG,0,2021-03-31,RPT,6.342243
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.6367
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,6.9121
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,10.9878
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,84,QFY,MNF_EMA,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,23.4139
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,16.723708
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,18.8105
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,INT_BURDEN,0,2021-03-31,RPT,7.7025
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,INT_CVG,0,2021-03-31,RPT,12.98286
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,1.1248
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,7.6557
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,16.8286
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,34,QFY,MNF_FMP,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,21.3752
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,6.348283
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,14.6837
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,INT_BURDEN,0,2021-03-31,RPT,18.5978
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,INT_CVG,0,2021-03-31,RPT,5.37698
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,INT_TO_SAL,0,2021-03-31,RPT,2.313
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,NET_PFT_TO_SAL,0,2021-03-31,RPT,7.6084
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,OPR_PFTS_TO_SAL,0,2021-03-31,RPT,12.8619
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,148,QFY,MNF_FPB,2021,2020,TAX_PROV_TO_EBT,0,2021-03-31,RPT,19.4408
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,11,QFY,MNF_FPB_DAIRY_PRD,2021,2020,CSH_CVG_RATIO,0,2021-03-31,RPT,3.45397
RBI:RATIO_LNGNFC_IND_QTR_RN(1.0),N_A,11,QFY,MNF_FPB_DAIRY_PRD,2021,2020,EBITDA_TO_SAL,0,2021-03-31,RPT,19.035
