DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EBITDA,2021,2020,0,2021-03-31,PT,9.8
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EBT_BEFORE_NOP,2021,2020,0,2021-03-31,INR,4104373199999.9995
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EBT_BEFORE_NOP,2021,2020,0,2021-03-31,PT,19.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD,2021,2020,0,2021-03-31,INR,28771544600000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD,2021,2020,0,2021-03-31,PT,-7.1
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_OTH,2021,2020,0,2021-03-31,INR,10678368499999.998
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_OTH,2021,2020,0,2021-03-31,PT,21.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_PNF,2021,2020,0,2021-03-31,INR,877298600000.0001
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_PNF,2021,2020,0,2021-03-31,PT,-21.6
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_RAW_MATR,2021,2020,0,2021-03-31,INR,12985364000000.002
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_RAW_MATR,2021,2020,0,2021-03-31,PT,-7.0
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_STAFF_COST,2021,2020,0,2021-03-31,INR,4230513500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,EXPD_STAFF_COST,2021,2020,0,2021-03-31,PT,0.3
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,GROSS_PFT_EBIT,2021,2020,0,2021-03-31,INR,5599480699999.999
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,GROSS_PFT_EBIT,2021,2020,0,2021-03-31,PT,13.5
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,INT,2021,2020,0,2021-03-31,INR,1495107500000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,INT,2021,2020,0,2021-03-31,PT,0.2
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,NET_PFT,2021,2020,0,2021-03-31,INR,2504598700000
RBI:PRF_LNGNFC_ANN_RN(1.0),N_A,3049,AFY,NET_PFT,2021,2020,0,2021-03-31,PT,115.6
