DATAFLOW,AUDST,COMP_COUNT,FREQ,PUC_CLS_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,4.1461
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,10.7961
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,OTH_INC_NET_PFT,0,2017-03-31,RPT,44.51
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,9.0413
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,498,AFY,10_TO_15,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,27.0931
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,51.3214
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,4.329643
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,13.247
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,10.2182
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,INT_BURDEN,0,2017-03-31,RPT,29.9427
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,INT_CVG,0,2017-03-31,RPT,3.33971
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,3.0596
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,4.9539
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,11.6725
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,OTH_INC_NET_PFT,0,2017-03-31,RPT,31.7825
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,11.2709
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,431,AFY,15_TO_25,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,24.8527
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,49.2434
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,4.149645
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,EBITDA_TO_SAL,0,2017-03-31,RPT,20.3589
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,EBIT_TO_SAL,0,2017-03-31,RPT,15.64
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,INT_BURDEN,0,2017-03-31,RPT,31.3695
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,INT_CVG,0,2017-03-31,RPT,3.187809
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,INT_TO_SAL,0,2017-03-31,RPT,4.9062
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,NET_PFT_TO_SAL,0,2017-03-31,RPT,6.9779
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,OPR_PFTS_TO_SAL,0,2017-03-31,RPT,16.6935
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,OTH_INC_NET_PFT,0,2017-03-31,RPT,52.5282
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,SC_TO_SAL,0,2017-03-31,RPT,10.712
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,803,AFY,25_N_ABOVE,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,22.2555
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,CORM_TO_SAL,0,2017-03-31,RPT,49.2339
RBI:RATIO_LNGNFC_PUC_ANN_RN(1.0),N_A,637,AFY,5_TO_10,2017,2016,CSH_CVG_RATIO,0,2017-03-31,RPT,4.215497
