DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,INT,2017,2016,25_TO_50,0,2017-03-31,PT,15.736
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,INT,2017,2016,500_TO_1000,0,2017-03-31,PT,4.2928
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,INT,2017,2016,50_TO_100,0,2017-03-31,PT,-13.0779
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,INT,2017,2016,ALL_COMP,0,2017-03-31,PT,4.7788
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,INT,2017,2016,LES_CLS_THAN_25,0,2017-03-31,PT,-24.3005
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,NET_PFT,2017,2016,100_N_ABOVE,0,2017-03-31,PT,12.1583
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,NET_PFT,2017,2016,100_TO_500,0,2017-03-31,PT,-10.4511
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,NET_PFT,2017,2016,500_TO_1000,0,2017-03-31,PT,-120.3691
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,NET_PFT,2017,2016,ALL_COMP,0,2017-03-31,PT,11.2479
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,OPR_PFT,2017,2016,100_N_ABOVE,0,2017-03-31,PT,5.6979
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,OPR_PFT,2017,2016,100_TO_500,0,2017-03-31,PT,-0.6769
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,OPR_PFT,2017,2016,500_TO_1000,0,2017-03-31,PT,-3.984
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,OPR_PFT,2017,2016,50_TO_100,0,2017-03-31,PT,-8.6892
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,OPR_PFT,2017,2016,ALL_COMP,0,2017-03-31,PT,5.3717
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,OTH_INC,2017,2016,100_N_ABOVE,0,2017-03-31,PT,8.5456
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,OTH_INC,2017,2016,100_TO_500,0,2017-03-31,PT,-8.6858
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,OTH_INC,2017,2016,25_TO_50,0,2017-03-31,PT,-46.7951
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,OTH_INC,2017,2016,500_TO_1000,0,2017-03-31,PT,8.7234
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,OTH_INC,2017,2016,50_TO_100,0,2017-03-31,PT,0.4972
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,OTH_INC,2017,2016,ALL_COMP,0,2017-03-31,PT,5.8779
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,OTH_INC,2017,2016,LES_CLS_THAN_25,0,2017-03-31,PT,-17.6879
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,SALES,2017,2016,100_N_ABOVE,0,2017-03-31,PT,3.9953
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,SALES,2017,2016,100_TO_500,0,2017-03-31,PT,-2.1803
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,SALES,2017,2016,25_TO_50,0,2017-03-31,PT,-8.167
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,SALES,2017,2016,500_TO_1000,0,2017-03-31,PT,0.4799
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,SALES,2017,2016,50_TO_100,0,2017-03-31,PT,-9.131
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,SALES,2017,2016,ALL_COMP,0,2017-03-31,PT,3.0898
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,SALES,2017,2016,LES_CLS_THAN_25,0,2017-03-31,PT,-44.4453
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,SAL_SHARE,2017,2016,100_N_ABOVE,0,2017-03-31,PT,87.4962
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,SAL_SHARE,2017,2016,100_TO_500,0,2017-03-31,PT,5.6421
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,SAL_SHARE,2017,2016,25_TO_50,0,2017-03-31,PT,0.3209
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,SAL_SHARE,2017,2016,500_TO_1000,0,2017-03-31,PT,5.5781
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,SAL_SHARE,2017,2016,50_TO_100,0,2017-03-31,PT,0.7628
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,SAL_SHARE,2017,2016,ALL_COMP,0,2017-03-31,PT,100.0
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,SAL_SHARE,2017,2016,LES_CLS_THAN_25,0,2017-03-31,PT,0.1999
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,500,AFY,TAX_PROV,2017,2016,100_N_ABOVE,0,2017-03-31,PT,1.1589
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,727,AFY,TAX_PROV,2017,2016,100_TO_500,0,2017-03-31,PT,-1.5802
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,273,AFY,TAX_PROV,2017,2016,25_TO_50,0,2017-03-31,PT,-2.8547
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,248,AFY,TAX_PROV,2017,2016,500_TO_1000,0,2017-03-31,PT,14.1065
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,332,AFY,TAX_PROV,2017,2016,50_TO_100,0,2017-03-31,PT,14.2734
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3007,AFY,TAX_PROV,2017,2016,ALL_COMP,0,2017-03-31,PT,1.4948
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,927,AFY,TAX_PROV,2017,2016,LES_CLS_THAN_25,0,2017-03-31,PT,-49.7332
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,DEPRC,2018,2017,100_N_ABOVE,0,2018-03-31,PT,4.1941
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,762,AFY,DEPRC,2018,2017,100_TO_500,0,2018-03-31,PT,5.9181
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,285,AFY,DEPRC,2018,2017,25_TO_50,0,2018-03-31,PT,-4.0824
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,253,AFY,DEPRC,2018,2017,500_TO_1000,0,2018-03-31,PT,0.0684
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,343,AFY,DEPRC,2018,2017,50_TO_100,0,2018-03-31,PT,-4.9489
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3096,AFY,DEPRC,2018,2017,ALL_COMP,0,2018-03-31,PT,3.8465
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,944,AFY,DEPRC,2018,2017,LES_CLS_THAN_25,0,2018-03-31,PT,-10.118
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,EBITDA,2018,2017,100_N_ABOVE,0,2018-03-31,PT,5.4252
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,762,AFY,EBITDA,2018,2017,100_TO_500,0,2018-03-31,PT,-9.1309
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,285,AFY,EBITDA,2018,2017,25_TO_50,0,2018-03-31,PT,-31.4431
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,253,AFY,EBITDA,2018,2017,500_TO_1000,0,2018-03-31,PT,18.2664
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,343,AFY,EBITDA,2018,2017,50_TO_100,0,2018-03-31,PT,-72.7865
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3096,AFY,EBITDA,2018,2017,ALL_COMP,0,2018-03-31,PT,4.923
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,944,AFY,EBITDA,2018,2017,LES_CLS_THAN_25,0,2018-03-31,PT,-109.6108
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,EXPD,2018,2017,100_N_ABOVE,0,2018-03-31,PT,11.1896
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,762,AFY,EXPD,2018,2017,100_TO_500,0,2018-03-31,PT,1.8885
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,285,AFY,EXPD,2018,2017,25_TO_50,0,2018-03-31,PT,-0.7527
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,253,AFY,EXPD,2018,2017,500_TO_1000,0,2018-03-31,PT,7.5189
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,343,AFY,EXPD,2018,2017,50_TO_100,0,2018-03-31,PT,-2.0307
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3096,AFY,EXPD,2018,2017,ALL_COMP,0,2018-03-31,PT,10.1291
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,944,AFY,EXPD,2018,2017,LES_CLS_THAN_25,0,2018-03-31,PT,-11.2063
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,GROSS_PFT_EBIT,2018,2017,100_N_ABOVE,0,2018-03-31,PT,5.7554
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,762,AFY,GROSS_PFT_EBIT,2018,2017,100_TO_500,0,2018-03-31,PT,-15.2145
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,285,AFY,GROSS_PFT_EBIT,2018,2017,25_TO_50,0,2018-03-31,PT,-44.338
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,253,AFY,GROSS_PFT_EBIT,2018,2017,500_TO_1000,0,2018-03-31,PT,25.0987
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3096,AFY,GROSS_PFT_EBIT,2018,2017,ALL_COMP,0,2018-03-31,PT,5.2275
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,INT,2018,2017,100_N_ABOVE,0,2018-03-31,PT,2.7922
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,762,AFY,INT,2018,2017,100_TO_500,0,2018-03-31,PT,2.5451
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,285,AFY,INT,2018,2017,25_TO_50,0,2018-03-31,PT,-1.3585
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,253,AFY,INT,2018,2017,500_TO_1000,0,2018-03-31,PT,-14.1197
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,343,AFY,INT,2018,2017,50_TO_100,0,2018-03-31,PT,-14.0198
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3096,AFY,INT,2018,2017,ALL_COMP,0,2018-03-31,PT,0.813
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,944,AFY,INT,2018,2017,LES_CLS_THAN_25,0,2018-03-31,PT,-17.818
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,NET_PFT,2018,2017,100_N_ABOVE,0,2018-03-31,PT,2.2359
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,762,AFY,NET_PFT,2018,2017,100_TO_500,0,2018-03-31,PT,-149.138
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,253,AFY,NET_PFT,2018,2017,500_TO_1000,0,2018-03-31,PT,-17.5011
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,3096,AFY,NET_PFT,2018,2017,ALL_COMP,0,2018-03-31,PT,-0.275
RBI:PRF_LNGNFC_SAL_ANN_RN(1.0),N_A,509,AFY,OPR_PFT,2018,2017,100_N_ABOVE,0,2018-03-31,PT,6.4909
