DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,OPR_PFT,2017,2016,0,2017-03-31,PT,8.038193275508
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,OTH_INC,2017,2016,0,2017-03-31,INR,140487400000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,OTH_INC,2017,2016,0,2017-03-31,PT,-1.600656147849
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,SALES,2017,2016,0,2017-03-31,INR,2980125600000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,SALES,2017,2016,0,2017-03-31,PT,9.362652151258
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,TAX_PROV,2017,2016,0,2017-03-31,INR,187090099999.99997
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,199,AFY,ICC_SRV_IT,TAX_PROV,2017,2016,0,2017-03-31,PT,1.182836406116
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,DEPRC,2017,2016,0,2017-03-31,INR,328157600000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,DEPRC,2017,2016,0,2017-03-31,PT,15.539012306037
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EBITDA,2017,2016,0,2017-03-31,INR,744570800000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EBITDA,2017,2016,0,2017-03-31,PT,-5.431680791082
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,INR,189705700000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EBT_BEFORE_NOP,2017,2016,0,2017-03-31,PT,-40.511640960754
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD,2017,2016,0,2017-03-31,INR,2704220700000
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD,2017,2016,0,2017-03-31,PT,0.038758155693
RBI:PRF_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,EXPD_OTH,2017,2016,0,2017-03-31,INR,2092389500000
