DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TYP_RATIO_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,579,AFY,ICC_SRV_NON_IT,2017,2016,TAX_PROV_TO_EBT,0,2017-03-31,RPT,20.159963323051
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,CORM_TO_SAL,0,2018-03-31,RPT,52.954954064614
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,CSH_CVG_RATIO,0,2018-03-31,RPT,6.340531972555
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,EBITDA_TO_SAL,0,2018-03-31,RPT,16.832518531598
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,EBIT_TO_SAL,0,2018-03-31,RPT,13.338408012565
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,INT_BURDEN,0,2018-03-31,RPT,19.903039566784
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,INT_CVG,0,2018-03-31,RPT,5.024358197372
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,INT_TO_SAL,0,2018-03-31,RPT,2.65474862432
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,NET_PFT_TO_SAL,0,2018-03-31,RPT,6.7949539015
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,OPR_PFTS_TO_SAL,0,2018-03-31,RPT,14.417819074795
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,OTH_INC_NET_PFT,0,2018-03-31,RPT,35.536656934045
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,SC_TO_SAL,0,2018-03-31,RPT,6.23125995158
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,1891,AFY,ICC_MANF,2018,2017,TAX_PROV_TO_EBT,0,2018-03-31,RPT,25.035651371978
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,192,AFY,ICC_SRV_IT,2018,2017,CSH_CVG_RATIO,0,2018-03-31,RPT,80.036078398735
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,192,AFY,ICC_SRV_IT,2018,2017,EBITDA_TO_SAL,0,2018-03-31,RPT,30.691709732361
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,192,AFY,ICC_SRV_IT,2018,2017,EBIT_TO_SAL,0,2018-03-31,RPT,28.392391476029
RBI:RATIO_LNGNFC_IND_ANN_RN(1.0),N_A,192,AFY,ICC_SRV_IT,2018,2017,INT_BURDEN,0,2018-03-31,RPT,1.350620405243
