DATAFLOW,AUDST,COMP_COUNT,FREQ,INDS_GRP_RN,PERF_IND_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,SALES,2016,2015,0,2016-03-31,PT,-3.7468
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,1885,AFY,MNF,TAX_PROV,2016,2015,0,2016-03-31,PT,3.3332
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,DEPRC,2016,2015,0,2016-03-31,PT,12.1436
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,EBITDA,2016,2015,0,2016-03-31,PT,2.9791
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,EXPD,2016,2015,0,2016-03-31,PT,1.9704
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,-1.2773
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,INT,2016,2015,0,2016-03-31,PT,5.4863
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,NET_PFT,2016,2015,0,2016-03-31,PT,-13.867
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,OPR_PFT,2016,2015,0,2016-03-31,PT,3.4404
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,OTH_INC,2016,2015,0,2016-03-31,PT,-1.2423
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,PC_SHARE_SAL,2016,2015,0,2016-03-31,PT,3.339727
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,SALES,2016,2015,0,2016-03-31,INR,998523100000
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,SALES,2016,2015,0,2016-03-31,PT,3.0363
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,39,AFY,MNF_CCP,TAX_PROV,2016,2015,0,2016-03-31,PT,25.8454
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,DEPRC,2016,2015,0,2016-03-31,PT,-3.5982
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,EBITDA,2016,2015,0,2016-03-31,PT,-22.8641
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,EXPD,2016,2015,0,2016-03-31,PT,0.1281
RBI:PRF_LNGNFC_INDUS_ANN_RN(1.0),N_A,67,AFY,MNF_CEE,GROSS_PFT_EBIT,2016,2015,0,2016-03-31,PT,-29.4445
