DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,PUC_CLS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,EBITDA,LES_THN_5,2015,2014,0,2014-09-30,PT,13.9384
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,EXPD,10_TO_15,2015,2014,0,2014-09-30,PT,4.4503
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,EXPD,15_TO_25,2015,2014,0,2014-09-30,PT,6.9828
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,EXPD,25_N_ABOVE,2015,2014,0,2014-09-30,PT,2.9019
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,EXPD,5_TO_10,2015,2014,0,2014-09-30,PT,9.5123
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,EXPD,ALL_COMP,2015,2014,0,2014-09-30,PT,3.5736
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,EXPD,LES_THN_5,2015,2014,0,2014-09-30,PT,4.4634
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,GROSS_PFT_EBIT,10_TO_15,2015,2014,0,2014-09-30,PT,12.0315
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,GROSS_PFT_EBIT,15_TO_25,2015,2014,0,2014-09-30,PT,7.7257
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,GROSS_PFT_EBIT,25_N_ABOVE,2015,2014,0,2014-09-30,PT,14.7127
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,GROSS_PFT_EBIT,5_TO_10,2015,2014,0,2014-09-30,PT,8.1466
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,GROSS_PFT_EBIT,ALL_COMP,2015,2014,0,2014-09-30,PT,14.0528
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,GROSS_PFT_EBIT,LES_THN_5,2015,2014,0,2014-09-30,PT,13.5219
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,INT,10_TO_15,2015,2014,0,2014-09-30,PT,1.9366
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,INT,15_TO_25,2015,2014,0,2014-09-30,PT,-3.032
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,INT,25_N_ABOVE,2015,2014,0,2014-09-30,PT,-0.1633
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,INT,5_TO_10,2015,2014,0,2014-09-30,PT,-7.9946
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,INT,ALL_COMP,2015,2014,0,2014-09-30,PT,-0.5636
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,INT,LES_THN_5,2015,2014,0,2014-09-30,PT,0.5454
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,NET_PFT,10_TO_15,2015,2014,0,2014-09-30,PT,33.9953
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,NET_PFT,15_TO_25,2015,2014,0,2014-09-30,PT,29.5841
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,NET_PFT,25_N_ABOVE,2015,2014,0,2014-09-30,PT,24.227
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,NET_PFT,5_TO_10,2015,2014,0,2014-09-30,PT,62.7851
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,NET_PFT,ALL_COMP,2015,2014,0,2014-09-30,PT,25.5797
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,NET_PFT,LES_THN_5,2015,2014,0,2014-09-30,PT,41.1604
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,OPR_PFT,10_TO_15,2015,2014,0,2014-09-30,PT,9.0204
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,OPR_PFT,15_TO_25,2015,2014,0,2014-09-30,PT,4.3847
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,OPR_PFT,25_N_ABOVE,2015,2014,0,2014-09-30,PT,9.4298
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,OPR_PFT,5_TO_10,2015,2014,0,2014-09-30,PT,-20.0856
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,OPR_PFT,ALL_COMP,2015,2014,0,2014-09-30,PT,8.3408
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,OPR_PFT,LES_THN_5,2015,2014,0,2014-09-30,PT,9.9818
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,OTH_INC,10_TO_15,2015,2014,0,2014-09-30,PT,27.774
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,OTH_INC,15_TO_25,2015,2014,0,2014-09-30,PT,21.9339
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,OTH_INC,25_N_ABOVE,2015,2014,0,2014-09-30,PT,23.0389
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,OTH_INC,ALL_COMP,2015,2014,0,2014-09-30,PT,26.1183
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,OTH_INC,LES_THN_5,2015,2014,0,2014-09-30,PT,35.8615
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,PUC_SHARE,10_TO_15,2015,2014,0,2014-09-30,PT,4.1327
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,PUC_SHARE,15_TO_25,2015,2014,0,2014-09-30,PT,6.4855
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,PUC_SHARE,25_N_ABOVE,2015,2014,0,2014-09-30,PT,84.5292
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,617,QFY,PUC_SHARE,5_TO_10,2015,2014,0,2014-09-30,PT,3.4206
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,2863,QFY,PUC_SHARE,ALL_COMP,2015,2014,0,2014-09-30,PT,100.0
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,620,QFY,PUC_SHARE,LES_THN_5,2015,2014,0,2014-09-30,PT,1.4321
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,435,QFY,SALES,10_TO_15,2015,2014,0,2014-09-30,PT,5.915
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,430,QFY,SALES,15_TO_25,2015,2014,0,2014-09-30,PT,5.1647
RBI:PRF_LNGNFC_PUC_QTR_RN(1.0),N_A,761,QFY,SALES,25_N_ABOVE,2015,2014,0,2014-09-30,PT,3.8922
