DATAFLOW,AUDST,COMP_COUNT,FREQ,PERF_IND_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2755,QFY,TAX_PROV,2015,2014,ALL_COMP,0,2014-06-30,PT,23.7622
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,742,QFY,TAX_PROV,2015,2014,LES_CLS_THAN_25,0,2014-06-30,PT,-100.3118
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,DEPRC,2015,2014,100_N_ABOVE,0,2014-09-30,PT,3.6166
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,DEPRC,2015,2014,100_TO_500,0,2014-09-30,PT,6.1474
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,DEPRC,2015,2014,25_TO_50,0,2014-09-30,PT,-10.4762
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,284,QFY,DEPRC,2015,2014,500_TO_1000,0,2014-09-30,PT,2.6126
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,313,QFY,DEPRC,2015,2014,50_TO_100,0,2014-09-30,PT,3.6866
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,2863,QFY,DEPRC,2015,2014,ALL_COMP,0,2014-09-30,PT,3.5251
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,760,QFY,DEPRC,2015,2014,LES_CLS_THAN_25,0,2014-09-30,PT,-5.6695
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,477,QFY,EBITDA,2015,2014,100_N_ABOVE,0,2014-09-30,PT,12.5303
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,748,QFY,EBITDA,2015,2014,100_TO_500,0,2014-09-30,PT,-0.9381
RBI:PRF_LNGNFC_SAL_QTR_RN(1.0),N_A,281,QFY,EBITDA,2015,2014,25_TO_50,0,2014-09-30,PT,-38.5786
