DATAFLOW,AUDST,FREQ,HI_LW_AVG_RATES_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-07-31,INR,2.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-07-31,INR,5.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-06-30,INR,2.3
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-06-30,INR,4.491257
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-06-30,INR,5.15
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-05-31,INR,2.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-05-31,INR,4.7
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-05-31,INR,4.031141
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2023,2022,0,2022-04-30,INR,3.476253
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2023,2022,0,2022-04-30,INR,2.2
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2023,2022,0,2022-04-30,INR,4.2
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2022-03-31,INR,2.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2022-03-31,INR,3.320311
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2022-03-31,INR,4.25
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2022,2021,0,2022-02-28,INR,2.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2022-02-28,INR,3.270823
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2022-02-28,INR,3.8
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2022,2021,0,2022-01-31,INR,3.478451
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2022,2021,0,2022-01-31,INR,4.65
