DATAFLOW,AUDST,DELY_PRJ_RN,FREQ,IIP_SEC_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_PETROLEUM,1996,1995,0,1996-03-31,PN,10.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_PETRO_CHEM,1996,1995,0,1996-03-31,PN,2.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_PWR,1996,1995,0,1996-03-31,PN,23.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_RLWY,1996,1995,0,1996-03-31,PN,28.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_STEEL,1996,1995,0,1996-03-31,PN,2.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_SURF_TRANSP,1996,1995,0,1996-03-31,PN,9.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_TEL_COMM,1996,1995,0,1996-03-31,PN,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_ATM_ENG,1996,1995,0,1996-03-31,INR,50040000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_COAL,1996,1995,0,1996-03-31,INR,50757000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_CVL_AVN,1996,1995,0,1996-03-31,INR,16671000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_FIN,1996,1995,0,1996-03-31,INR,3488000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_FRTZ,1996,1995,0,1996-03-31,INR,25657000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_MINES,1996,1995,0,1996-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_OTH,1996,1995,0,1996-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_PETROLEUM,1996,1995,0,1996-03-31,INR,99419000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_PETRO_CHEM,1996,1995,0,1996-03-31,INR,3364000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_PWR,1996,1995,0,1996-03-31,INR,306926000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_RLWY,1996,1995,0,1996-03-31,INR,114523000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_STEEL,1996,1995,0,1996-03-31,INR,89512000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_SURF_TRANSP,1996,1995,0,1996-03-31,INR,23595000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_TEL_COMM,1996,1995,0,1996-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_ATM_ENG,1996,1995,0,1996-03-31,INR,26382000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_COAL,1996,1995,0,1996-03-31,INR,29359000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_CVL_AVN,1996,1995,0,1996-03-31,INR,14318000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_FIN,1996,1995,0,1996-03-31,INR,1183000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_FRTZ,1996,1995,0,1996-03-31,INR,25657000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_MINES,1996,1995,0,1996-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_OTH,1996,1995,0,1996-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_PETROLEUM,1996,1995,0,1996-03-31,INR,75943000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_PETRO_CHEM,1996,1995,0,1996-03-31,INR,3364000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_PWR,1996,1995,0,1996-03-31,INR,145552000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_RLWY,1996,1995,0,1996-03-31,INR,50125000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_STEEL,1996,1995,0,1996-03-31,INR,38180000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_SURF_TRANSP,1996,1995,0,1996-03-31,INR,18673000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_TEL_COMM,1996,1995,0,1996-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_ATM_ENG,1997,1996,0,1997-03-31,INR,24646000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_COAL,1997,1996,0,1997-03-31,INR,21474000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_CVL_AVN,1997,1996,0,1997-03-31,INR,2721000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_FIN,1997,1996,0,1997-03-31,INR,2305000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_FRTZ,1997,1996,0,1997-03-31,INR,1022000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_MINES,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_OTH,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_PETROLEUM,1997,1996,0,1997-03-31,INR,15674000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_PETRO_CHEM,1997,1996,0,1997-03-31,INR,206000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_PWR,1997,1996,0,1997-03-31,INR,175637000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_RLWY,1997,1996,0,1997-03-31,INR,60490000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_STEEL,1997,1996,0,1997-03-31,INR,57242000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_SURF_TRANSP,1997,1996,0,1997-03-31,INR,8737000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_COST_OVRN,AFY,IIP_TEL_COMM,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_ATM_ENG,1997,1996,0,1997-03-31,PN,5.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_COAL,1997,1996,0,1997-03-31,PN,13.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_CVL_AVN,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_FIN,1997,1996,0,1997-03-31,PN,1.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_FRTZ,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_MINES,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_OTH,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_PETROLEUM,1997,1996,0,1997-03-31,PN,13.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_PETRO_CHEM,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_PWR,1997,1996,0,1997-03-31,PN,22.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_RLWY,1997,1996,0,1997-03-31,PN,37.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_STEEL,1997,1996,0,1997-03-31,PN,3.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_SURF_TRANSP,1997,1996,0,1997-03-31,PN,16.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NBR_PRJ,AFY,IIP_TEL_COMM,1997,1996,0,1997-03-31,PN,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_ATM_ENG,1997,1996,0,1997-03-31,INR,49040000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_COAL,1997,1996,0,1997-03-31,INR,62075000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_CVL_AVN,1997,1996,0,1997-03-31,INR,17039000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_FIN,1997,1996,0,1997-03-31,INR,3488000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_FRTZ,1997,1996,0,1997-03-31,INR,21954000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_MINES,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_OTH,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_PETROLEUM,1997,1996,0,1997-03-31,INR,181694000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_PETRO_CHEM,1997,1996,0,1997-03-31,INR,38414000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_PWR,1997,1996,0,1997-03-31,INR,320233000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_RLWY,1997,1996,0,1997-03-31,INR,114296000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_STEEL,1997,1996,0,1997-03-31,INR,111679000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_SURF_TRANSP,1997,1996,0,1997-03-31,INR,38642000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_NON_ANT,AFY,IIP_TEL_COMM,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_ATM_ENG,1997,1996,0,1997-03-31,INR,24393000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_COAL,1997,1996,0,1997-03-31,INR,40601000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_CVL_AVN,1997,1996,0,1997-03-31,INR,14318000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_FIN,1997,1996,0,1997-03-31,INR,1183000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_FRTZ,1997,1996,0,1997-03-31,INR,20932000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_MINES,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_OTH,1997,1996,0,1997-03-31,INR,0.0
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_PETROLEUM,1997,1996,0,1997-03-31,INR,166021000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_PETRO_CHEM,1997,1996,0,1997-03-31,INR,38207000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_PWR,1997,1996,0,1997-03-31,INR,144596000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_RLWY,1997,1996,0,1997-03-31,INR,53805000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_STEEL,1997,1996,0,1997-03-31,INR,54438000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_SURF_TRANSP,1997,1996,0,1997-03-31,INR,29904000000
RBI:CENT_SEC_DEL_PRJ_RN(1.0),N_A,DEL_ORG_EST,AFY,IIP_TEL_COMM,1997,1996,0,1997-03-31,INR,0.0
