DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CORE_INF_INDS_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2008,2007,0,2008-03-31,PT,6.29432624113475
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2008,2007,0,2008-03-31,PT,-7.99614643545279
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2008,2007,0,2008-03-31,PT,2.2022022022022
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2008,2007,0,2008-03-31,PT,6.50477016478751
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2008,2007,0,2008-03-31,PT,6.7937033968517
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2009,2008,0,2009-03-31,PT,7.23446234791187
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2009,2008,0,2009-03-31,PT,8.00653594771242
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,26.68,INF_COMP_INDX,AFY,2009,2008,0,2009-03-31,PT,2.99704516673702
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,4.17,INF_CRD_OIL,AFY,2009,2008,0,2009-03-31,PT,-1.743264659271
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,10.17,INF_ELECTY,AFY,2009,2008,0,2009-03-31,PT,2.75608635737253
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,2.0,INF_REF_PRD,AFY,2009,2008,0,2009-03-31,PT,3.00957592339261
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,5.13,INF_STL,AFY,2009,2008,0,2009-03-31,PT,1.56829198745366
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,2.41,INF_CEMENT,AFY,2009,2008,0,2009-03-31,PT,7.24528301886792
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,4.38,INF_COAL,AFY,2009,2008,0,2009-03-31,PT,8.00667222685571
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,37.9,INF_COMP_INDX,AFY,2009,2008,0,2009-03-31,PT,2.78481012658228
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.22,INF_CRD_OIL,AFY,2009,2008,0,2009-03-31,PT,-1.79282868525896
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,10.32,INF_ELECTY,AFY,2009,2008,0,2009-03-31,PT,2.75229357798165
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.25,INF_FRTZ,AFY,2009,2008,0,2009-03-31,PT,-3.87434554973822
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,1.71,INF_NAT_GAS,AFY,2009,2008,0,2009-03-31,PT,1.27326150832517
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,5.94,INF_REF_PRD,AFY,2009,2008,0,2009-03-31,PT,3.01302931596091
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_2004_05,6.68,INF_STL,AFY,2009,2008,0,2009-03-31,PT,1.93948797517455
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,1.99,INF_CEMENT,AFY,2010,2009,0,2010-03-31,PT,10.54891137687826
RBI:INX_CORE_INF_INDS_GWT_RN(1.0),N_A,BY_1993_94,3.22,INF_COAL,AFY,2010,2009,0,2010-03-31,PT,8.32072617246596
