DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,FREQ,INDS_PROD_CLASS_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.65,M,SEC_PPR_PRNT,2002,2001,2001-08-31,IX,162.0
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.73,M,SEC_RUBR_PLAS,2002,2001,2001-08-31,IX,170.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.54,M,SEC_TEXT_PROD,2002,2001,2001-08-31,IX,166.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,3.98,M,SEC_TRANS_EQP_PRTS,2002,2001,2001-08-31,IX,193.6
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.7,M,SEC_WD_FRN,2002,2001,2001-08-31,IX,97.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.26,M,SEC_WD_SILK,2002,2001,2001-08-31,IX,219.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,14.0,M,SEC_BAS_CHEM_PROD,2002,2001,2001-09-30,IX,186.5
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,7.45,M,SEC_BAS_MTL_ALLOY,2002,2001,2001-09-30,IX,153.4
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,2.38,M,SEC_BEV_TOB,2002,2001,2001-09-30,IX,222.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,5.52,M,SEC_COTT_TEXT,2002,2001,2001-09-30,IX,122.9
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.08,M,SEC_FD_PRD,2002,2001,2001-09-30,IX,99.8
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,0.59,M,SEC_JUTE,2002,2001,2001-09-30,IX,108.1
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,1.14,M,SEC_LEATR,2002,2001,2001-09-30,IX,210.2
RBI:IIP_MANF_SEC_MTH_RN(1.0),N_A,BY_1993_94,9.57,M,SEC_MACH_EQP,2002,2001,2001-09-30,IX,202.3
