DATAFLOW,AUDST,BASE_PER,FREQ,INDS_PROD_CLASS_RN,INDX_IP_TYP_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_METL_PRD,IIP_SEC_BASED,2002,2001,2001-04-30,IX,146.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MIN_QUAR,IIP_SEC_BASED,2002,2001,2001-04-30,IX,123.1
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_MNF,IIP_SEC_BASED,2002,2001,2001-04-30,IX,166.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_NON_MET_MIN,IIP_SEC_BASED,2002,2001,2001-04-30,IX,225.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_OTHR_MNF,IIP_SEC_BASED,2002,2001,2001-04-30,IX,167.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_PPR_PRNT,IIP_SEC_BASED,2002,2001,2001-04-30,IX,167.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_RUBR_PLAS,IIP_SEC_BASED,2002,2001,2001-04-30,IX,159.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TEXT_PROD,IIP_SEC_BASED,2002,2001,2001-04-30,IX,168.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_TRANS_EQP_PRTS,IIP_SEC_BASED,2002,2001,2001-04-30,IX,190.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_FRN,IIP_SEC_BASED,2002,2001,2001-04-30,IX,89.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_WD_SILK,IIP_SEC_BASED,2002,2001,2001-04-30,IX,209.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_BAS_GDS,IIP_USE_BASED,2002,2001,2001-04-30,IX,145.3
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CAP_GDS,IIP_USE_BASED,2002,2001,2001-04-30,IX,157.0
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_DUR,IIP_USE_BASED,2002,2001,2001-04-30,IX,224.9
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_GDS,IIP_USE_BASED,2002,2001,2001-04-30,IX,165.2
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_CONS_NON_DUR,IIP_USE_BASED,2002,2001,2001-04-30,IX,151.5
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,USE_INTL_GDS,IIP_USE_BASED,2002,2001,2001-04-30,IX,176.4
RBI:INX_INDS_PROD_RN(1.0),N_A,BY_1993_94,M,SEC_BAS_CHEM_PROD,IIP_SEC_BASED,2002,2001,2001-05-31,IX,178.0
