DATAFLOW,AUDST,FREQ,INDS_PRI_CHAR_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INT_PAID,1996,1995,0,1996-03-31,INR,358880000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,INV_CAP,1996,1995,0,1996-03-31,INR,4899690000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_EMP,1996,1995,0,1996-03-31,PN,3196414000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAN_DAYS_WRK,1996,1995,0,1996-03-31,PN,2393812000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,MAT_CONSUMED,1996,1995,0,1996-03-31,PN,4103790000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_EMP,1996,1995,0,1996-03-31,PS,10044697
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_FACT,1996,1995,0,1996-03-31,PN,134571.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NBR_WRKRS,1996,1995,0,1996-03-31,PS,7632297.0
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_FIXD_CAPIT_FORMAT,1996,1995,0,1996-03-31,INR,454940000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_INCOME,1996,1995,0,1996-03-31,INR,996340000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,NET_VALUE_ADDED,1996,1995,0,1996-03-31,INR,1393970000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,OUT_STND_LNS,1996,1995,0,1996-03-31,INR,2469340000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PFT,1996,1995,0,1996-03-31,INR,440470000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PROD_BY_PROD,1996,1995,0,1996-03-31,PN,6211290000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,PRV_OTH_FNDS,1996,1995,0,1996-03-31,INR,47120000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,RENT_PAID,1996,1995,0,1996-03-31,INR,38750000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOTAL_PERSNS_ENGAGED,1996,1995,0,1996-03-31,PS,10222169
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_EMOLUMENTS,1996,1995,0,1996-03-31,INR,451160000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TOT_INPUTS,1996,1995,0,1996-03-31,PN,5074910000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,TTL_ADN_STOCK,1996,1995,0,1996-03-31,PN,215040000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,VAL_OF_OUTPUT,1996,1995,0,1996-03-31,INR,6705140000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WGS_TO_WRKRS,1996,1995,0,1996-03-31,INR,279700000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_CAP,1996,1995,0,1996-03-31,INR,1076630000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,WRK_STAF_WELF_EXPENS,1996,1995,0,1996-03-31,INR,57590000000
RBI:ANN_SURV_INDS_RN(1.0),N_A,AFY,ADD_STC_FIN_GDS,1997,1996,0,1997-03-31,PN,75000000000
