DATAFLOW,AUDST,FIN_ASS_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,11907700000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,6393040000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,1778410000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,48380000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,189300000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,230530000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2014,2013,0,2014-03-31,INR,228160000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,31830000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,5750800000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,170270000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,1115210000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,10640410000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,279110000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,1564790000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,-71090000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2013,2012,0,2013-03-31,INR,1799490000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,165220000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,5259700000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,45090000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,-218890000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,956800000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,1062420000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,9327290000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,100210000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2012,2011,0,2012-03-31,INR,1956730000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_NON_BNK_DEP,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,50990000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CURR,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,1371310000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_BNK_DEP,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,5482990000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,10798670000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_TRD_DB_NET,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,68230000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_SHAR_DEBN,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,17290000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_LIF_INS_FND,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,2101020000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CLM_GOV,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,295450000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2011,2010,0,2011-03-31,INR,1411390000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_PRV_PEN_FND,AFY,CURR_PRC,2010,2009,0,2010-03-31,INR,1298490000000
RBI:CHG_FIN_ASS_HOUSE_SEC_RN(1.0),N_A,FA_CHNG_FIN_ASS,AFY,CURR_PRC,2010,2009,0,2010-03-31,INR,9897980000000
