DATAFLOW,AUDST,BASE_PER,FREQ,NAT_INC_INDC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2004_05,AFY,NII_POPL,CURR_PRC,1986,1985,0,1986-03-31,INR,755000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_CONS_FX_CAP,CNST_PRC,1986,1985,0,1986-03-31,INR,1452162102000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_CONS_FX_CAP,CURR_PRC,1986,1985,0,1986-03-31,INR,262542325470
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GDP,CNST_PRC,1986,1985,0,1986-03-31,INR,18832431267540
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GDP,CURR_PRC,1986,1985,0,1986-03-31,INR,2845340853900
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GNI,CNST_PRC,1986,1985,0,1986-03-31,INR,18734253755260
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GNI,CURR_PRC,1986,1985,0,1986-03-31,INR,2831050853900
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GROSS_CAP_FRM,CNST_PRC,1986,1985,0,1986-03-31,INR,3500286396180
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GROSS_CAP_FRM,CURR_PRC,1986,1985,0,1986-03-31,INR,634195725630
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GROSS_NAT_DISP_INC,CURR_PRC,1986,1985,0,1986-03-31,INR,2859260853900
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GROSS_SAV,CURR_PRC,1986,1985,0,1986-03-31,INR,522494210860
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GVA_BAS_PRC,CNST_PRC,1986,1985,0,1986-03-31,INR,17375648184440
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_GVA_BAS_PRC,CURR_PRC,1986,1985,0,1986-03-31,INR,2567785145180
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_NDP,CNST_PRC,1986,1985,0,1986-03-31,INR,17380269165540
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_NDP,CURR_PRC,1986,1985,0,1986-03-31,INR,2582798528430
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_2011_12,AFY,NII_NET_CAP_FRM,CNST_PRC,1986,1985,0,1986-03-31,INR,2048124294180.0002
