DATAFLOW,AUDST,BASE_PER,CLASS_EXP_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_GFCF,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,729087135580
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,1489220285500
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_IMP_GDS_SER,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,223590000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_PFCE,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,13985881520340
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_PFCE,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,2329137183970
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_VAL,AFY,MRKT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_2011_12,CEXP_VAL,AFY,MRKT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,0.0
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,AFY,MRKT_CST,CNST_PRC,1988,1987,0,1988-03-31,INR,56590000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_CHG_STOCK,AFY,MRKT_CST,CURR_PRC,1988,1987,0,1988-03-31,INR,23480000000
RBI:ANN_GDP_MRKT_PRC_RN(1.0),N_A,BY_1999_2000,CEXP_DISCP,AFY,MRKT_CST,CNST_PRC,1988,1987,0,1988-03-31,INR,-529990000000
