DATAFLOW,AUDST,BASE_PER,CLASS_ECNY_RN,FREQ,MET_CALC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_COMM_SOL_PERS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1998-03-31,INR,685030000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1998-03-31,INR,241000000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_CONST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1998-03-31,INR,206610000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CNST_PRC,1998,1997,0,1998-03-31,INR,103670000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_ELCTY_GAS_WTR,QFY,FACT_CST,CURR_PRC,1998,1997,0,1998-03-31,INR,97620000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CNST_PRC,1998,1997,0,1998-03-31,INR,526580000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_FIN_INS_REAL_BUS_SER,QFY,FACT_CST,CURR_PRC,1998,1997,0,1998-03-31,INR,450370000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CNST_PRC,1998,1997,0,1998-03-31,INR,4351410000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_GDP_FACT_CST,QFY,FACT_CST,CURR_PRC,1998,1997,0,1998-03-31,INR,3934160000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CNST_PRC,1998,1997,0,1998-03-31,INR,658200000000
RBI:QTR_GDP_FACT_CST_RN(1.0),N_A,BY_1999_2000,CECN_MANF,QFY,FACT_CST,CURR_PRC,1998,1997,0,1998-03-31,INR,612450000000
