DATAFLOW,AUDST,FIN_LIB_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1998,1997,0,1998-03-31,INR,3430000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1998,1997,0,1998-03-31,INR,198850000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1998,1997,0,1998-03-31,INR,4880000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1998,1997,0,1998-03-31,INR,42030000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1997,1996,0,1997-03-31,INR,168570000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1997,1996,0,1997-03-31,INR,25930000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1997,1996,0,1997-03-31,INR,3600000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1997,1996,0,1997-03-31,INR,136750000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1997,1996,0,1997-03-31,INR,2290000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1996,1995,0,1996-03-31,INR,3420000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1996,1995,0,1996-03-31,INR,186200000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1996,1995,0,1996-03-31,INR,156050000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1996,1995,0,1996-03-31,INR,23980000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1996,1995,0,1996-03-31,INR,2750000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1995,1994,0,1995-03-31,INR,247700000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1995,1994,0,1995-03-31,INR,24090000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1995,1994,0,1995-03-31,INR,3260000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1995,1994,0,1995-03-31,INR,216180000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1995,1994,0,1995-03-31,INR,4170000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1994,1993,0,1994-03-31,INR,18670000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1994,1993,0,1994-03-31,INR,3100000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1994,1993,0,1994-03-31,INR,119720000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1994,1993,0,1994-03-31,INR,7100000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1994,1993,0,1994-03-31,INR,148590000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1993,1992,0,1993-03-31,INR,2950000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1993,1992,0,1993-03-31,INR,114210000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1993,1992,0,1993-03-31,INR,28970000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1993,1992,0,1993-03-31,INR,4430000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1993,1992,0,1993-03-31,INR,150560000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_GOV,AFY,CURR_PRC,1992,1991,0,1992-03-31,INR,4690000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1992,1991,0,1992-03-31,INR,15510000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_BNK_ADV,AFY,CURR_PRC,1992,1991,0,1992-03-31,INR,36890000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_COP_NON_CRD_SOC,AFY,CURR_PRC,1992,1991,0,1992-03-31,INR,2880000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_CHNG_FIN_LIB,AFY,CURR_PRC,1992,1991,0,1992-03-31,INR,59970000000
RBI:CHG_FIN_LIB_HOUSE_SEC_RN(1.0),N_A,FL_LN_ADV_OTH_FIN,AFY,CURR_PRC,1991,1990,0,1991-03-31,INR,11540000000
