DATAFLOW,AUDST,BASE_PER,CLASF_SEC_GDP_RN,DIFF_SEC_GDP_RN,FREQ,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_HOUS_SEC,AFY,N_A,2021,2020,0,2021-03-31,INR,45056262219779.8
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2021,2020,0,2021-03-31,INR,74310600000
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2021,2020,0,2021-03-31,INR,7373499293784.04
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2021,2020,0,2021-03-31,INR,21354499728599.2
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP,AFY,N_A,2021,2020,0,2021-03-31,INR,2802882341667
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_NON_DEP_ENT,AFY,N_A,2021,2020,0,2021-03-31,INR,2728571741667
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP,AFY,N_A,2021,2020,0,2021-03-31,INR,2335670357922.74
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2021,2020,0,2021-03-31,INR,405053767577.1
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_SAV,AFY,N_A,2021,2020,0,2021-03-31,INR,57869290518872.2
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_FIN_CRP,AFY,N_A,2021,2020,0,2021-03-31,INR,2335569471569.19
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2021,2020,0,2021-03-31,INR,20888958352354.6
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PRV_NON_FIN_CRP,AFY,N_A,2020,2019,0,2020-03-31,INR,18390090419204.6
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP,AFY,N_A,2020,2019,0,2020-03-31,INR,2924300120214.69
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_NON_FIN_CRP,AFY,N_A,2020,2019,0,2020-03-31,INR,21314390539419.3
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GEN_GOV,AFY,N_A,2020,2019,0,2020-03-31,INR,-5601706855278.29
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP,AFY,N_A,2020,2019,0,2020-03-31,INR,3127033016817
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_SAV,AFY,N_A,2020,2019,0,2020-03-31,INR,59411352085250.6
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_PHY_ASS,AFY,N_A,2020,2019,0,2020-03-31,INR,22521669130146.1
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_DEP_ENT,AFY,N_A,2020,2019,0,2020-03-31,INR,531595037344.96
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_FIN_CRP,AFY,N_A,2020,2019,0,2020-03-31,INR,5246941753878.19
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_NON_DEP_ENT,AFY,N_A,2020,2019,0,2020-03-31,INR,3038286071027
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_GROSS_FIN_SAV,AFY,N_A,2020,2019,0,2020-03-31,INR,23245628710641.8
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_NON_FIN_CRP_NON_DEP_ENT,AFY,N_A,2020,2019,0,2020-03-31,INR,2392705082869.73
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_PUB_FIN_CRP_DEP_ENT,AFY,N_A,2020,2019,0,2020-03-31,INR,88746945790
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_SAV_GLD_SLV,AFY,N_A,2020,2019,0,2020-03-31,INR,431360590548.26
RBI:SEC_WIS_DOM_SAV_RN(1.0),N_A,BY_2011_12,N_A,DSG_LES_FIN_LIB,AFY,N_A,2020,2019,0,2020-03-31,INR,7746931784104.8
