DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,NAT_INC_INDC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,ANN_GRWT_RT,NII_PER_CAP_NNP,CNST_PRC,1989,1988,0,1989-03-31,PT,8.06152854956914
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,ANN_GRWT_RT,NII_PER_CAP_NNP,CURR_PRC,1989,1988,0,1989-03-31,PT,16.61984012243971
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,INV_RT,NII_RT_GDCF,CNST_PRC,1989,1988,0,1989-03-31,PT,22.22150402183864
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,INV_RT,NII_RT_GDCF,CURR_PRC,1989,1988,0,1989-03-31,PT,22.84220621525179
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,INV_RT,NII_RT_NDCF,CNST_PRC,1989,1988,0,1989-03-31,PT,14.9634406693587
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,INV_RT,NII_RT_NDCF,CURR_PRC,1989,1988,0,1989-03-31,PT,15.31144954552535
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,SAV_RT,NII_GROSS_SAV_RT_OF_GDS,CURR_PRC,1989,1988,0,1989-03-31,PT,20.02595601211281
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2004_05,AFY,SAV_RT,NII_NET_SAV_RT_OF_NDS,CURR_PRC,1989,1988,0,1989-03-31,PT,12.2203184588561
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_GDP,CURR_PRC,1989,1988,0,1989-03-31,PT,18.65290699301488
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_GNI,CURR_PRC,1989,1988,0,1989-03-31,PT,18.26640818392419
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_GROSS_DOM_PRD,CNST_PRC,1989,1988,0,1989-03-31,PT,9.62778291981707
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_GROSS_NAT_INC,CNST_PRC,1989,1988,0,1989-03-31,PT,9.38809489915257
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_GVA_BAS_PRC,CNST_PRC,1989,1988,0,1989-03-31,PT,10.15993960536995
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_GVA_BAS_PRC,CURR_PRC,1989,1988,0,1989-03-31,PT,19.34153770583523
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_NAT_INC,CNST_PRC,1989,1988,0,1989-03-31,PT,9.78304345045838
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_NNI,CURR_PRC,1989,1988,0,1989-03-31,PT,18.44803386087337
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_PER_CAP_NNI,CNST_PRC,1989,1988,0,1989-03-31,PT,7.46464377648191
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_PER_CAP_NNI,CURR_PRC,1989,1988,0,1989-03-31,PT,15.9466468290819
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_PER_CAP_NNP,CNST_PRC,1989,1988,0,1989-03-31,PT,7.46464377648191
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,ANN_GRWT_RT,NII_PER_CAP_NNP,CURR_PRC,1989,1988,0,1989-03-31,PT,15.9466468290819
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,INV_RT,NII_RT_GDCF,CNST_PRC,1989,1988,0,1989-03-31,PT,20.49095185427891
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,INV_RT,NII_RT_GDCF,CURR_PRC,1989,1988,0,1989-03-31,PT,24.71242581489036
RBI:MACRO_ECN_AGG_RTS_RN(1.0),N_A,BY_2011_12,AFY,INV_RT,NII_RT_NDCF,CNST_PRC,1989,1988,0,1989-03-31,PT,12.84208309595511
