DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PRI_SEC,0,2004-09-30,USD,476000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PUB_SEC,0,2004-09-30,INR,47460000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,BI_NON_CON_PUB_SEC,0,2004-09-30,USD,1028000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CONCESSION,0,2004-09-30,INR,1069110000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CONCESSION,0,2004-09-30,USD,23201000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_FIN_INC,0,2004-09-30,INR,30870000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_FIN_INC,0,2004-09-30,USD,670000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_IDA,0,2004-09-30,INR,1054330000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_IDA,0,2004-09-30,USD,22880000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_OTH,0,2004-09-30,INR,14780000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_OTH,0,2004-09-30,USD,321000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_PRV_SEC,0,2004-09-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_PRV_SEC,0,2004-09-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_PUB_SEC,0,2004-09-30,INR,57040000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,CON_PUB_SEC,0,2004-09-30,USD,1238000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,GROSS_TTL_DBT,0,2004-09-30,INR,5210560000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,GROSS_TTL_DBT,0,2004-09-30,USD,112971000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LB_GOVT_BORW,0,2004-09-30,INR,578480000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LB_GOVT_BORW,0,2004-09-30,USD,12553000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LB_NON_GOVT_BORW,0,2004-09-30,INR,188280000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LB_NON_GOVT_BORW,0,2004-09-30,USD,4083000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_COM_BNK_LN,0,2004-09-30,INR,564550000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_COM_BNK_LN,0,2004-09-30,USD,12232000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_LN_SEC_MUL_BIL_GUR,0,2004-09-30,INR,36230000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_LN_SEC_MUL_BIL_GUR,0,2004-09-30,USD,785000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_SEC_BORW,0,2004-09-30,INR,443630000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_SEC_BORW,0,2004-09-30,USD,9613000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_SEL_LIQ_LN,0,2004-09-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LCB_SEL_LIQ_LN,0,2004-09-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_BUY_CRD,0,2004-09-30,INR,118140000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_BUY_CRD,0,2004-09-30,USD,2559000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_BILT,0,2004-09-30,INR,50070000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_BILT,0,2004-09-30,USD,1087000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_DEF,0,2004-09-30,INR,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_EXP_CRD_DEF,0,2004-09-30,USD,0.0
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_SUP_CRD,0,2004-09-30,INR,44030000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LETC_SUP_CRD,0,2004-09-30,USD,954000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_GOVT_BORW,0,2004-09-30,INR,1275600000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_GOVT_BORW,0,2004-09-30,USD,27684000000
RBI:EXT_DBT_RT_RN(1.0),N_A,QFY,2005,2004,LM_NON_GOVT_BORW,0,2004-09-30,INR,113680000000
