DATAFLOW,AUDST,EXT_DBT_IND_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_EXT_DEBT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NGB_NON_CON,0,1991-03-31,USD,1013000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON,0,1991-03-31,INR,125800000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON,0,1991-03-31,USD,6510000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_FIN_INS,0,1991-03-31,INR,12700000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_FIN_INS,0,1991-03-31,USD,657000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_IBRD,0,1991-03-31,INR,121610000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_IBRD,0,1991-03-31,USD,6293000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_OTH,0,1991-03-31,INR,4190000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_OTH,0,1991-03-31,USD,217000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_PRI_SEC,0,1991-03-31,INR,3840000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_PRI_SEC,0,1991-03-31,USD,199000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_PUB_SEC,0,1991-03-31,INR,3030000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,NON_CON_PUB_SEC,0,1991-03-31,USD,157000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,RUP_CIV,0,1991-03-31,INR,23240000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,RUP_CIV,0,1991-03-31,USD,1202000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,RUP_DEF,0,1991-03-31,INR,228750000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,RUP_DEF,0,1991-03-31,USD,11645000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,SHT_NRI_DEP_UPTO_1YR_MAT,0,1991-03-31,INR,70180000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,SHT_NRI_DEP_UPTO_1YR_MAT,0,1991-03-31,USD,3577000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,SHT_TRM_DEB,0,1991-03-31,INR,167750000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,SHT_TRM_DEB,0,1991-03-31,USD,8544000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STDO_6MTH_UP_1YR,0,1991-03-31,INR,44530000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STDO_6MTH_UP_1YR,0,1991-03-31,USD,2533000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STDO_UPTO_6MTH,0,1991-03-31,INR,49760000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STDO_UPTO_6MTH,0,1991-03-31,USD,2267000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_EXT_DEB_LIB,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_EXT_DEB_LIB,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_EXT_DEB_LIB_CENT,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_EXT_DEB_LIB_CENT,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_EXT_DEB_LIB_COMM,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_EXT_DEB_LIB_COMM,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_FII_INV_GOV,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_FII_INV_GOV,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_INV_TREAS_BIL,0,1991-03-31,INR,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_INV_TREAS_BIL,0,1991-03-31,USD,0.0
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_OTH,0,1991-03-31,INR,94290000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,N_A,AFY,1991,1990,STD_OTH,0,1991-03-31,USD,4800000000
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,STD_AS_PER_TTL_DBT,AFY,1991,1990,N_A,0,1991-03-31,INR,10.2
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,STD_AS_PER_TTL_DBT,AFY,1991,1990,N_A,0,1991-03-31,USD,10.2
RBI:IND_EXTRN_DEBT_RN(1.0),N_A,CON_DBT_AS_PER_TTL_DBT,AFY,1992,1991,N_A,0,1992-03-31,INR,44.8
