DATAFLOW,AUDST,CAT_CNTR_TRD_RN,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_TAZ,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,405269756263
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_AS_OC,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,15539009566
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_KEN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,3133693103
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_FRA,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,7959897046
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_GER,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,891676336081
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,28314973176
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_SAU_ARB,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,30121395962
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_BHU,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,513440637
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_AO_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,587146255
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,53914623772
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_OAC_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,2052980673467
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_KUW,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,702224944752
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_AS_OC_AUS,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,8578840083.999999
