DATAFLOW,AUDST,FREQ,INVS_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_PVT_TRNSF_RCPTS,1987,1986,0,1987-03-31,INR,29910000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_PVT_TRNSF_RCPTS,1987,1986,0,1987-03-31,USD,2339000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,INVI_NET_TTL_PYMTS,1987,1986,0,1987-03-31,INR,47520000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,INVI_NET_TTL_PYMTS,1987,1986,0,1987-03-31,USD,3715000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,INVI_NET_TTL_RCPTS,1987,1986,0,1987-03-31,INR,82760000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,INVI_NET_TTL_RCPTS,1987,1986,0,1987-03-31,USD,6471000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_PYMTS,1988,1987,0,1988-03-31,INR,23120000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_PYMTS,1988,1987,0,1988-03-31,USD,1783000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_RCPTS,1988,1987,0,1988-03-31,INR,5790000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_INVST_INCM_RCPTS,1988,1987,0,1988-03-31,USD,446000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_PYMTS,1988,1987,0,1988-03-31,INR,23120000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_PYMTS,1988,1987,0,1988-03-31,USD,1783000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_RCPTS,1988,1987,0,1988-03-31,INR,5790000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_INCM_RCPTS,1988,1987,0,1988-03-31,USD,446000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_GNIE_PYMTS,1988,1987,0,1988-03-31,INR,1820000000
RBI:INVI_CAT_TRANS_RN(1.0),N_A,AFY,IC_NFS_GNIE_PYMTS,1988,1987,0,1988-03-31,USD,140000000
