DATAFLOW,AUDST,CAT_BOP_IND,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,10.97089
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,1.73559
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,3.01712
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1995,1994,0,1995-03-31,PT,4.75271
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1995,1994,0,1995-03-31,PT,8.41778
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,-1.64033
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1996,1995,0,1996-03-31,PT,89.42132
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,13.86566
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,8.96465
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1996,1995,0,1996-03-31,PT,14.2835
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,1.28047
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,12.11657
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,1.51131
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,3.3897
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1996,1995,0,1996-03-31,PT,4.90101
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1996,1995,0,1996-03-31,PT,5.95933
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,-1.1756
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1997,1996,0,1997-03-31,PT,92.32176
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,14.13515
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,8.6873
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1997,1996,0,1997-03-31,PT,18.02947
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,1.56627
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,12.45791
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,2.59502
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,2.85284
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1997,1996,0,1997-03-31,PT,5.44785
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1997,1996,0,1997-03-31,PT,6.47781
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,-1.32253
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1998,1997,0,1998-03-31,PT,91.46423
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,14.17141
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,8.58115
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1998,1997,0,1998-03-31,PT,15.0028
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,1.28741
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,12.31063
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,2.40696
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,3.1833
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1998,1997,0,1998-03-31,PT,5.59025
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1998,1997,0,1998-03-31,PT,6.88464
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,-0.95854
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,1999,1998,0,1999-03-31,PT,93.70106
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,14.25888
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,8.14162
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,1999,1998,0,1999-03-31,PT,6.74092
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,0.54882
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,11.28594
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,2.18579
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,3.93147
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,1999,1998,0,1999-03-31,PT,6.11726
RBI:BOP_INDI_RN(1.0),N_A,TERM_IMP_RES,AFY,1999,1998,0,1999-03-31,PT,8.2004
RBI:BOP_INDI_RN(1.0),N_A,CAD_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,-1.02389
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_CURR_PYMTS,AFY,2000,1999,0,2000-03-31,PT,93.52464
RBI:BOP_INDI_RN(1.0),N_A,CURR_RCPTS_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,14.78828
RBI:BOP_INDI_RN(1.0),N_A,EXT_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,8.182
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_EXP,AFY,2000,1999,0,2000-03-31,PT,13.63007
RBI:BOP_INDI_RN(1.0),N_A,FI_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,1.11521
RBI:BOP_INDI_RN(1.0),N_A,IMP_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,12.07032
RBI:BOP_INDI_RN(1.0),N_A,NET_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,2.86442
RBI:BOP_INDI_RN(1.0),N_A,PYMTS_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,3.74186
RBI:BOP_INDI_RN(1.0),N_A,RCPTS_TO_GDP,AFY,2000,1999,0,2000-03-31,PT,6.60628
