DATAFLOW,AUDST,FREQ,IO_BOP_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_COMM_BORRW,1991,1990,TRANC_DEB,0,1991-03-31,USD,2028000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_COMM_BORRW,1991,1990,TRANC_NET,0,1991-03-31,INR,40450000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_COMM_BORRW,1991,1990,TRANC_NET,0,1991-03-31,USD,2254000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST,1991,1990,TRANC_CRD,0,1991-03-31,INR,60950000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST,1991,1990,TRANC_CRD,0,1991-03-31,USD,3397000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST,1991,1990,TRANC_DEB,0,1991-03-31,INR,21400000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST,1991,1990,TRANC_DEB,0,1991-03-31,USD,1193000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST,1991,1990,TRANC_NET,0,1991-03-31,INR,39550000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST,1991,1990,TRANC_NET,0,1991-03-31,USD,2204000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_BY_IND,1991,1990,TRANC_DEB,0,1991-03-31,INR,110000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_BY_IND,1991,1990,TRANC_DEB,0,1991-03-31,USD,6000000.0
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_BY_IND,1991,1990,TRANC_NET,0,1991-03-31,INR,-110000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_BY_IND,1991,1990,TRANC_NET,0,1991-03-31,USD,-6000000.0
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_TO_IND,1991,1990,TRANC_CRD,0,1991-03-31,INR,60950000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_TO_IND,1991,1990,TRANC_CRD,0,1991-03-31,USD,3397000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_TO_IND,1991,1990,TRANC_DEB,0,1991-03-31,INR,21290000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_TO_IND,1991,1990,TRANC_DEB,0,1991-03-31,USD,1187000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_TO_IND,1991,1990,TRANC_NET,0,1991-03-31,INR,39660000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_EXT_AST_TO_IND,1991,1990,TRANC_NET,0,1991-03-31,USD,2210000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_STC_TO_IND,1991,1990,TRANC_CRD,0,1991-03-31,INR,31450000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_STC_TO_IND,1991,1990,TRANC_CRD,0,1991-03-31,USD,1753000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_STC_TO_IND,1991,1990,TRANC_DEB,0,1991-03-31,INR,12160000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_STC_TO_IND,1991,1990,TRANC_DEB,0,1991-03-31,USD,678000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_STC_TO_IND,1991,1990,TRANC_NET,0,1991-03-31,INR,19290000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_LN_STC_TO_IND,1991,1990,TRANC_NET,0,1991-03-31,USD,1075000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_OTH_CAP,1991,1990,TRANC_CRD,0,1991-03-31,INR,55930000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_OTH_CAP,1991,1990,TRANC_CRD,0,1991-03-31,USD,3117000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_OTH_CAP,1991,1990,TRANC_DEB,0,1991-03-31,INR,21290000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_OTH_CAP,1991,1990,TRANC_DEB,0,1991-03-31,USD,1186000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_OTH_CAP,1991,1990,TRANC_NET,0,1991-03-31,INR,34640000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_OTH_CAP,1991,1990,TRANC_NET,0,1991-03-31,USD,1931000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_RUP_DBT_SRV,1991,1990,TRANC_DEB,0,1991-03-31,INR,21400000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_RUP_DBT_SRV,1991,1990,TRANC_DEB,0,1991-03-31,USD,1193000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_RUP_DBT_SRV,1991,1990,TRANC_NET,0,1991-03-31,INR,-21400000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CA_RUP_DBT_SRV,1991,1990,TRANC_NET,0,1991-03-31,USD,-1193000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_ACC,1991,1990,TRANC_CRD,0,1991-03-31,INR,465490000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_ACC,1991,1990,TRANC_CRD,0,1991-03-31,USD,25941000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_ACC,1991,1990,TRANC_DEB,0,1991-03-31,INR,639150000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_ACC,1991,1990,TRANC_DEB,0,1991-03-31,USD,35621000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_ACC,1991,1990,TRANC_NET,0,1991-03-31,INR,-173660000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_ACC,1991,1990,TRANC_NET,0,1991-03-31,USD,-9680000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_INVIS,1991,1990,TRANC_CRD,0,1991-03-31,INR,133960000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_INVIS,1991,1990,TRANC_CRD,0,1991-03-31,USD,7464000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_INVIS,1991,1990,TRANC_DEB,0,1991-03-31,INR,138290000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_INVIS,1991,1990,TRANC_DEB,0,1991-03-31,USD,7706000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_INVIS,1991,1990,TRANC_NET,0,1991-03-31,INR,-4330000000
RBI:IND_OVR_BOP_A_RN(1.0),N_A,AFY,CURR_INVIS,1991,1990,TRANC_NET,0,1991-03-31,USD,-242000000
