DATAFLOW,AUDST,FREQ,IO_BOP_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND,2021,2020,TRANC_DEB,0,2021-03-31,USD,7928490505.31598
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND,2021,2020,TRANC_NET,0,2021-03-31,INR,419113604032.717
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND,2021,2020,TRANC_NET,0,2021-03-31,USD,5750244800.23205
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_EQT,2021,2020,TRANC_CRD,0,2021-03-31,INR,623377119602.285
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_EQT,2021,2020,TRANC_CRD,0,2021-03-31,USD,8552743232.58868
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_EQT,2021,2020,TRANC_DEB,0,2021-03-31,INR,575368657090
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_EQT,2021,2020,TRANC_DEB,0,2021-03-31,USD,7894066422.11976
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_EQT,2021,2020,TRANC_NET,0,2021-03-31,INR,48008462512.2854
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_EQT,2021,2020,TRANC_NET,0,2021-03-31,USD,658676810.468921
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_OC,2021,2020,TRANC_CRD,0,2021-03-31,INR,44268903068.4535
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_OC,2021,2020,TRANC_CRD,0,2021-03-31,USD,607370000
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_OC,2021,2020,TRANC_DEB,0,2021-03-31,INR,2509041280
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_OC,2021,2020,TRANC_DEB,0,2021-03-31,USD,34424083.196215
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_OC,2021,2020,TRANC_NET,0,2021-03-31,INR,41759861788.4535
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_OC,2021,2020,TRANC_NET,0,2021-03-31,USD,572945916.803786
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_RE,2021,2020,TRANC_CRD,0,2021-03-31,INR,329345279731.978
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_RE,2021,2020,TRANC_CRD,0,2021-03-31,USD,4518622072.95934
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_RE,2021,2020,TRANC_DEB,0,2021-03-31,INR,0.0
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_RE,2021,2020,TRANC_DEB,0,2021-03-31,USD,0.0
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_RE,2021,2020,TRANC_NET,0,2021-03-31,INR,329345279731.978
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FDI_IND_RE,2021,2020,TRANC_NET,0,2021-03-31,USD,4518622072.95934
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI,2021,2020,TRANC_CRD,0,2021-03-31,INR,6764016095197.55
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI,2021,2020,TRANC_CRD,0,2021-03-31,USD,92802400126.9579
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI,2021,2020,TRANC_DEB,0,2021-03-31,INR,6233384064246.14
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI,2021,2020,TRANC_DEB,0,2021-03-31,USD,85522120872.227
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI,2021,2020,TRANC_NET,0,2021-03-31,INR,530632030951.404
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI,2021,2020,TRANC_NET,0,2021-03-31,USD,7280279254.73088
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_ABD,2021,2020,TRANC_CRD,0,2021-03-31,INR,22056957586.7544
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_ABD,2021,2020,TRANC_CRD,0,2021-03-31,USD,302621781.903009
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_ABD,2021,2020,TRANC_DEB,0,2021-03-31,INR,88332424121.6667
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_ABD,2021,2020,TRANC_DEB,0,2021-03-31,USD,1211922155.73574
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_ABD,2021,2020,TRANC_NET,0,2021-03-31,INR,-66275466534.9123
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_ABD,2021,2020,TRANC_NET,0,2021-03-31,USD,-909300373.832731
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_IND,2021,2020,TRANC_CRD,0,2021-03-31,INR,6741959137610.79
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_IND,2021,2020,TRANC_CRD,0,2021-03-31,USD,92499778345.0549
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_IND,2021,2020,TRANC_DEB,0,2021-03-31,INR,6145051640124.48
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_IND,2021,2020,TRANC_DEB,0,2021-03-31,USD,84310198716.4913
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_IND,2021,2020,TRANC_NET,0,2021-03-31,INR,596907497486.316
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_IND,2021,2020,TRANC_NET,0,2021-03-31,USD,8189579628.5636
RBI:IND_OVR_BOP_RN(1.0),N_A,QFY,CA_FI_FPI_IND_FII,2021,2020,TRANC_CRD,0,2021-03-31,INR,6741959137610.79
