DATAFLOW,AUDST,COMD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GOLD,AFY,2024,2023,0,2024-03-31,INR,3772503391517.0005
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TEWXT_YRN,AFY,2024,2023,0,2024-03-31,INR,188598913812
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PLP_PPR,AFY,2024,2023,0,2024-03-31,INR,153718184278
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TRANS_EQP,AFY,2024,2023,0,2024-03-31,INR,2544784813677
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_OTH_IMP_COMMD,AFY,2024,2023,0,2024-03-31,INR,2505455336952
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FRT_VEG,AFY,2024,2023,0,2024-03-31,INR,242007110928
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_COAL_COKE,AFY,2024,2023,0,2024-03-31,INR,3218346319077
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MEDC_PHARMA,AFY,2024,2023,0,2024-03-31,INR,682552709076
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PETR_CRUD,AFY,2024,2023,0,2024-03-31,USD,178732695143
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MET_ORES,AFY,2024,2023,0,2024-03-31,USD,9480225692
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NON_FER_MTL,AFY,2024,2023,0,2024-03-31,INR,1773945389326
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MET_ORES,AFY,2024,2023,0,2024-03-31,INR,784983974674
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PUL,AFY,2024,2023,0,2024-03-31,INR,310716329130
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PETR_CRUD,AFY,2024,2023,0,2024-03-31,INR,14802323428907
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PEARL,AFY,2024,2023,0,2024-03-31,INR,1972478917835
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_WOOD_ORD,AFY,2024,2023,0,2024-03-31,USD,6421941690
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FERTZ,AFY,2024,2023,0,2024-03-31,INR,865674717379.0001
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TRANS_EQP,AFY,2024,2023,0,2024-03-31,USD,30720803829
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PLP_PPR,AFY,2024,2023,0,2024-03-31,USD,1856670119
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ORG_INORG_CHEM,AFY,2024,2023,0,2024-03-31,INR,2210016990170
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_TOOLS,AFY,2024,2023,0,2024-03-31,INR,400343405933.00006
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_TEWXT_YRN,AFY,2024,2023,0,2024-03-31,USD,2277565252
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SULPH,AFY,2024,2023,0,2024-03-31,INR,17479153636
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CHEM_MATR_PROD,AFY,2024,2023,0,2024-03-31,USD,12743114575
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_PROF_INST,AFY,2024,2023,0,2024-03-31,INR,642650159460
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MEDC_PHARMA,AFY,2024,2023,0,2024-03-31,USD,8243535406.000001
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_TOOLS,AFY,2024,2023,0,2024-03-31,USD,4834131888
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ELEC_GDS,AFY,2024,2023,0,2024-03-31,USD,87856989078
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FERTZ,AFY,2024,2023,0,2024-03-31,USD,10456904713
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NON_FER_MTL,AFY,2024,2023,0,2024-03-31,USD,21428623010
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SILV,AFY,2024,2023,0,2024-03-31,USD,5438316388
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ELEC_GDS,AFY,2024,2023,0,2024-03-31,INR,7275049079201
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GYE_MTRL,AFY,2024,2023,0,2024-03-31,USD,4928497000
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ORG_INORG_CHEM,AFY,2024,2023,0,2024-03-31,USD,26701590557
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_CTTN_RAW,AFY,2024,2023,0,2024-03-31,USD,598661407
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_IRN_STL,AFY,2024,2023,0,2024-03-31,USD,23733731682
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_GOLD,AFY,2024,2023,0,2024-03-31,USD,45542235699
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_NEWSPRINT,AFY,2023,2022,0,2023-03-31,INR,42028789032
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_SILV,AFY,2023,2022,0,2023-03-31,INR,422370919251
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MEDC_PHARMA,AFY,2023,2022,0,2023-03-31,USD,8104808593
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_ORG_INORG_CHEM,AFY,2023,2022,0,2023-03-31,USD,33441906320
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_MACH_TOOLS,AFY,2023,2022,0,2023-03-31,USD,4406662096
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FRT_VEG,AFY,2023,2022,0,2023-03-31,USD,2675470061
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_VEG_OIL,AFY,2023,2022,0,2023-03-31,INR,1672699916313
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_IRN_STL,AFY,2023,2022,0,2023-03-31,USD,22483242607
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_OTH_IMP_COMMD,AFY,2023,2022,0,2023-03-31,INR,2250488614614
RBI:IMP_PRIN_COMM_RN(1.0),N_A,N_IPC_FERTZ,AFY,2023,2022,0,2023-03-31,INR,1385443775100
