DATAFLOW,AUDST,FREQ,LIB_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2007,2006,0,2007-03-31,RO,28.91
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2007,2006,0,2007-03-31,RO,69.98
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2007,2006,0,2007-03-31,RO,74.66
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2008,2007,0,2008-03-31,RO,58.86
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2008,2007,0,2008-03-31,RO,54.65
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2008,2007,0,2008-03-31,RO,4.21
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2008,2007,0,2008-03-31,RO,26.63
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2008,2007,0,2008-03-31,RO,67.23
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2008,2007,0,2008-03-31,RO,71.44
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2009,2008,0,2009-03-31,RO,58.62
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2009,2008,0,2009-03-31,RO,53.93
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2009,2008,0,2009-03-31,RO,4.69
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2009,2008,0,2009-03-31,RO,26.11
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2009,2008,0,2009-03-31,RO,67.52
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2009,2008,0,2009-03-31,RO,72.21
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2010,2009,0,2010-03-31,RO,56.27
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT11,2010,2009,0,2010-03-31,RO,52.42
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT12,2010,2009,0,2010-03-31,RO,3.85
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT2,2010,2009,0,2010-03-31,RO,25.45
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT3,2010,2009,0,2010-03-31,RO,66.76
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT4,2010,2009,0,2010-03-31,RO,70.6
RBI:DIG_GDP_RN(1.0),N_A,AFY,LT1,2011,2010,0,2011-03-31,RO,52.16
