DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_GEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE31,0,2006-03-31,INR,5095250000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE32,0,2006-03-31,INR,4403770000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2006,2005,GE33,0,2006-03-31,INR,99530000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE1,0,2007-03-31,INR,5969960000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE11,0,2007-03-31,INR,2557180000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE12,0,2007-03-31,INR,3412780000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE2,0,2007-03-31,INR,6572800000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE21,0,2007-03-31,INR,3921650000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE22,0,2007-03-31,INR,2118720000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE23,0,2007-03-31,INR,532430000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE3,0,2007-03-31,INR,11091740000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE31,0,2007-03-31,INR,5880280000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE32,0,2007-03-31,INR,5076350000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2007,2006,GE33,0,2007-03-31,INR,135110000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE1,0,2008-03-31,INR,7263980000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE11,0,2008-03-31,INR,3256700000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE12,0,2008-03-31,INR,4007280000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE2,0,2008-03-31,INR,7523250000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE21,0,2008-03-31,INR,4644620000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE22,0,2008-03-31,INR,2332330000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE23,0,2008-03-31,INR,546300000000
RBI:CCS_EXP_RN(1.0),N_A,AFY,2008,2007,GE3,0,2008-03-31,INR,13152830000000
