DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_ERN_FC,CURR_YR,2013,2012,0,2013-03-31,PT,73.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_ERN_FC,PREV_YR,2013,2012,0,2013-03-31,PT,12.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_ERN_FC_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,44.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_ERN_FC_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,5.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_EXP_FC,CURR_YR,2013,2012,0,2013-03-31,PT,39.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_EXP_FC,PREV_YR,2013,2012,0,2013-03-31,PT,25.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_EXP_FC_IMP,CURR_YR,2013,2012,0,2013-03-31,PT,9.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_EXP_FC_IMP,PREV_YR,2013,2012,0,2013-03-31,PT,27.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_INC,CURR_YR,2013,2012,0,2013-03-31,PT,24.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_TTL_INC,PREV_YR,2013,2012,0,2013-03-31,PT,23.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_VAL_PROD,CURR_YR,2013,2012,0,2013-03-31,PT,19.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,52,DE,AFY,GRP_VAL_PROD,PREV_YR,2013,2012,0,2013-03-31,PT,23.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_BORRW_BNKS,CURR_YR,2013,2012,0,2013-03-31,PT,136.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_BORRW_BNKS,PREV_YR,2013,2012,0,2013-03-31,PT,-59.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_CURR_ASST,CURR_YR,2013,2012,0,2013-03-31,PT,-4.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_CURR_ASST,PREV_YR,2013,2012,0,2013-03-31,PT,8.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_CURR_LIB,CURR_YR,2013,2012,0,2013-03-31,PT,35.5
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_CURR_LIB,PREV_YR,2013,2012,0,2013-03-31,PT,25.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_DESC_PROV,CURR_YR,2013,2012,0,2013-03-31,PT,0.6
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_DESC_PROV,PREV_YR,2013,2012,0,2013-03-31,PT,-7.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_DIV_PAID,CURR_YR,2013,2012,0,2013-03-31,PT,45.9
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_DIV_PAID,PREV_YR,2013,2012,0,2013-03-31,PT,25.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_EBIT,CURR_YR,2013,2012,0,2013-03-31,PT,-15.7
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_EBIT,PREV_YR,2013,2012,0,2013-03-31,PT,45.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_EBITDA,CURR_YR,2013,2012,0,2013-03-31,PT,-9.0
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_EBITDA,PREV_YR,2013,2012,0,2013-03-31,PT,23.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_GFA,CURR_YR,2013,2012,0,2013-03-31,PT,7.4
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_GFA,PREV_YR,2013,2012,0,2013-03-31,PT,10.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_GRS_SAV,CURR_YR,2013,2012,0,2013-03-31,PT,-20.2
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_GRS_SAV,PREV_YR,2013,2012,0,2013-03-31,PT,18.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_GVA,CURR_YR,2013,2012,0,2013-03-31,PT,7.3
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_GVA,PREV_YR,2013,2012,0,2013-03-31,PT,19.1
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_INT_EXP,CURR_YR,2013,2012,0,2013-03-31,PT,-17.8
RBI:GRWT_RT_INDCO_FDI_RN(1.0),N_A,22,FR,AFY,GRP_INT_EXP,PREV_YR,2013,2012,0,2013-03-31,PT,-44.8
