DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,SUFR_ESF_TSF,0,2013-03-31,PT,84.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,SUFR_GCF_TUF,0,2013-03-31,PT,52.0
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,SUFR_GFAF_TUF,0,2013-03-31,PT,33.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,SUFR_GS_GCF,0,2013-03-31,PT,42.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,22,CH,AFY,PREV_YR,2013,2012,SUFR_IBB_TES,0,2013-03-31,PT,31.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,8.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,53.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,37.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,242.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,89.5
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,CURR_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,24.1
