DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,IND_TYP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_SAL,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,29.146284142541
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_SAL,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,12.756025964545
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_SAL,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,16.59649287
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TGA,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,18.140823553455
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TGA,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,24.140440769746
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TGA,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,12.494818238036
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TGA,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,14.12790947
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TNA,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,15.387029699086
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TNA,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,27.286952034557
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TNA,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,10.944580613819
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TNA,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,13.27576483
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_BORRW,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,25.196652387402
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_BORRW,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,22.38419964257
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_BORRW,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,16.851733862898
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_BORRW,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,18.23552476
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_ERN_FC,PRV,CURR_YR,2013,2012,0,2013-03-31,PT,19.168955513639
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,598,AFY,GRP_TTL_ERN_FC,PRV,PREV_YR,2013,2012,0,2013-03-31,PT,24.626424535694
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_ERN_FC,PUB,CURR_YR,2013,2012,0,2013-03-31,PT,19.606068475788
RBI:GRWT_RT_INDCT_FDI_RN(1.0),N_A,319,AFY,GRP_TTL_ERN_FC,PUB,PREV_YR,2013,2012,0,2013-03-31,PT,25.55492289
