DATAFLOW,AUDST,COUNTRYCODE,FREQ,IND_CLASF_RN,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MULT,OBS_VALUE
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MFG_MTR_VEH_OTH_TRAN,2013,2012,2013-03-31,0,5.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MFG_OTH,2013,2012,2013-03-31,0,66.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_MFG_RUB_PLAS_PROD,2013,2012,2013-03-31,0,2.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_SRV,2013,2012,2013-03-31,0,61.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_SRV_CRA,2013,2012,2013-03-31,0,30.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_SRV_OTHE,2013,2012,2013-03-31,0,54.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_SRV_TSCO,2013,2012,2013-03-31,0,1.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_SRV_WHL_RET_TRD,2013,2012,2013-03-31,0,7.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,US,AFY,ICC_TTL,2013,2012,2013-03-31,0,144.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_MCH_TOOLS,2014,2013,2014-03-31,0,1.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_MFG,2014,2013,2014-03-31,0,12.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_MFG_EM_APPR,2014,2013,2014-03-31,0,2.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_MFG_FP_BV,2014,2013,2014-03-31,0,2.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_MFG_MTR_VEH_OTH_TRAN,2014,2013,2014-03-31,0,1.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_MFG_OTH,2014,2013,2014-03-31,0,12.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_SRV,2014,2013,2014-03-31,0,21.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_SRV_CRA,2014,2013,2014-03-31,0,4.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_SRV_OTHE,2014,2013,2014-03-31,0,19.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_SRV_TSCO,2014,2013,2014-03-31,0,6.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_SRV_WHL_RET_TRD,2014,2013,2014-03-31,0,2.0
RBI:IND_CNTRY_FDI_RN(1.0),N_A,AE,AFY,ICC_TTL,2014,2013,2014-03-31,0,35.0
