DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,LR_CA_CL,0,2014-03-31,PT,1.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,LR_CA_TNA,0,2014-03-31,PT,40.6
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,LR_QA_CL,0,2014-03-31,PT,59.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,LR_TP_CA,0,2014-03-31,PT,30.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_DIV_NW,0,2014-03-31,PT,3.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_EBD_SAL,0,2014-03-31,PT,13.9
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_GP_SAL,0,2014-03-31,PT,11.8
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_GP_TNA,0,2014-03-31,PT,9.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_OD_TO_OPC,0,2014-03-31,PT,36.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_PAT_SAL,0,2014-03-31,PT,6.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_PAT_TNW,0,2014-03-31,PT,10.7
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_PR_PAT,0,2014-03-31,PT,67.0
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_TO_PREV,2014,2013,PPAR_TP_PBT,0,2014-03-31,PT,24.2
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,AUTR_EXP_SAL,0,2014-03-31,PT,12.3
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,AUTR_GVA_GFA,0,2014-03-31,PT,34.5
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,AUTR_INV_SAL,0,2014-03-31,PT,12.4
RBI:FIN_RATIOS_RN(1.0),N_A,AFY,PREV_YR,2014,2013,AUTR_SAL_GFA,0,2014-03-31,PT,146.5
